timestamp,ax,ay,az,qs,qx,qy,qz,amag
1636030847415908.000000,0.061427,-0.011041,1.025044,-0.007625,0.030261,0.418745,0.907568,0.087570
1636030847425513.000000,0.038674,-0.009211,1.025593,-0.007625,0.030261,0.418745,0.907568,0.055463
1636030847435115.000000,0.021167,-0.008723,1.026874,-0.007625,0.030261,0.418745,0.907568,0.031180
1636030847444857.000000,0.008540,-0.010065,1.027484,-0.007625,0.030261,0.418745,0.907568,0.015722
1636030847454464.000000,-0.002379,-0.011651,1.027545,-0.007625,0.030261,0.418745,0.907568,0.012127
1636030847464086.000000,-0.007991,-0.011834,1.026935,-0.007625,0.030261,0.418745,0.907568,0.016363
1636030847473678.000000,-0.009760,-0.012017,1.026935,-0.007625,0.030261,0.418745,0.907568,0.018301
1636030847483440.000000,-0.009760,-0.012322,1.026264,-0.007625,0.030261,0.418745,0.907568,0.018503
1636030847493049.000000,-0.009882,-0.011956,1.025715,-0.007625,0.030261,0.418745,0.907568,0.018392
1636030847502672.000000,-0.004575,-0.007747,1.027057,-0.007625,0.030261,0.418745,0.907568,0.010093
1636030847512290.000000,-0.008845,-0.012261,1.025532,-0.007625,0.030261,0.418745,0.907568,0.017516
1636030847521928.000000,-0.014396,-0.016653,1.024800,-0.007625,0.030261,0.418745,0.907568,0.026302
1636030847531541.000000,-0.006771,-0.010309,1.025776,-0.007625,0.030261,0.418745,0.907568,0.014070
1636030847541152.000000,-0.005734,-0.010065,1.024739,-0.007625,0.030261,0.418745,0.907568,0.012925
1636030847550904.000000,-0.008174,-0.012505,1.025166,-0.007625,0.030261,0.418745,0.907568,0.017029
1636030847560514.000000,-0.008113,-0.012261,1.025532,-0.007625,0.030261,0.418745,0.907568,0.016792
1636030847570113.000000,-0.007503,-0.011956,1.025715,-0.007625,0.030261,0.418745,0.907568,0.015985
